report_id,operator,engaged,incident_month,municipality,state,metro,version,severity
30270-14097,Waymo LLC,True,2026-02-01,Tempe,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14141,Waymo LLC,True,2026-02-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14091,Waymo LLC,True,2026-02-01,Palo Alto,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14119,Waymo LLC,True,2026-02-01,Houston,TX,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14077,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14029,Waymo LLC,True,2026-02-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14027,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14012,Waymo LLC,True,2026-02-01,Scottsdale,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14008,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14009,Waymo LLC,True,2026-02-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14044,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14047,Waymo LLC,True,2026-02-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14006,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14304,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14295,Waymo LLC,True,2026-03-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14287,Waymo LLC,True,2026-03-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13949,Waymo LLC,True,2026-02-01,Daly City,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13947,Waymo LLC,True,2026-01-01,Beverly Hills,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13546,Waymo LLC,True,2026-01-01,Atlanta,GA,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13544,Waymo LLC,True,2026-01-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13543,Waymo LLC,True,2026-01-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-13542,Waymo LLC,True,2025-12-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13541,Waymo LLC,True,2025-12-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13540,Waymo LLC,True,2025-12-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13539,Waymo LLC,True,2025-12-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13538,Waymo LLC,True,2025-12-01,West Hollywood,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13514,Waymo LLC,True,2025-12-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13513,Waymo LLC,True,2025-12-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13545,Waymo LLC,True,2026-01-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-13512,Waymo LLC,True,2025-12-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13495,Waymo LLC,True,2025-12-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Minor W/ Hospitalization
30270-13491,Waymo LLC,True,2025-12-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Minor W/ Hospitalization
30270-13490,Waymo LLC,True,2025-12-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-13506,Waymo LLC,True,2025-12-01,Atlanta,GA,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13509,Waymo LLC,True,2025-12-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13488,Waymo LLC,True,2025-12-01,Atlanta,GA,,"5th Generation ADS, Version 10",Minor W/ Hospitalization
30270-13487,Waymo LLC,True,2025-12-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13486,Waymo LLC,True,2025-12-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13485,Waymo LLC,True,2025-12-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13484,Waymo LLC,True,2025-12-01,Inglewood,CA,Los Angeles,"5th Generation ADS, Version 10",No Injured Reported
30270-13507,Waymo LLC,True,2025-12-01,Brisbane,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13467,Waymo LLC,True,2025-12-01,Tempe,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
