dgp,multiplier,mean_total_claims,learned_minus_eu_mean,learned_minus_eu_median,learned_minus_eu_q25,learned_minus_eu_q75,learned_minus_eu_lo,learned_minus_eu_hi,learned_minus_eu_se,learned_minus_indep_mean,learned_minus_indep_median,learned_minus_indep_q25,learned_minus_indep_q75,learned_minus_indep_lo,learned_minus_indep_hi,learned_minus_indep_se,learned_minus_pool_mean,learned_minus_pool_median,learned_minus_pool_q25,learned_minus_pool_q75,learned_minus_pool_lo,learned_minus_pool_hi,learned_minus_pool_se,eu_minus_indep_mean,eu_minus_indep_median,eu_minus_indep_q25,eu_minus_indep_q75,eu_minus_indep_lo,eu_minus_indep_hi,eu_minus_indep_se
structured,1000,4383.22,0.4936818850696877,0.4083865999288179,-0.3703824990550295,1.1877103226247634,-3.186619992796553,4.575570785052647,0.08786469066393184,1.4542410380396285,1.9712136318816498,1.0821673568260506,2.425866650804153,-3.21592587697407,3.345602954474794,0.08350563749282056,1.207302315851636,0.4970915883771738,-0.22411607728376737,2.0064556902586874,-3.3430258417478704,9.375961081437966,0.15650694443928154,0.960559152969941,1.3713661886133135,0.4496474198456024,1.9728412810231193,-2.9220090353204218,2.728659629110895,0.07652676162637986
independent_null,1,4.2625,-0.0048586531849008205,0.001148217765720272,-0.05695991459144456,0.031735085030666355,-0.22050248113005863,0.24710509439152553,0.0054728443358569336,-0.014592360086560775,0.03370402214898549,-0.0769039498273516,0.10080774295305694,-0.5028332813030887,0.2505856478745658,0.010279770649628532,-0.03618128417365021,-0.05202804749458956,-0.10180137308943316,0.01593117217551443,-0.275045045528387,0.3716177857504457,0.007188109669217725,-0.019689396853577054,0.014620675628758129,-0.09690599744768691,0.11410604579923156,-0.544199439916828,0.27273586328577837,0.010489373401739452
independent_null,3,12.7775,-0.005241296536892912,0.0019863333873804123,-0.13204095524992066,0.0903742821700475,-0.736402528109436,0.6757163420772171,0.01614151623682583,-0.0959989541034065,0.05963402742767876,-0.29568696866641986,0.25353444448472606,-1.4813961000386218,0.578807136474214,0.028433125554721817,-0.050345906295135814,-0.11016452645869546,-0.2287627226636224,0.08643978917100403,-0.751505112250195,0.9025970701284048,0.020982308113392856,-0.08039350349485992,0.04292208059704539,-0.3231906908091675,0.25720374405618207,-1.444525273184795,0.5904756962680165,0.026507598315237524
independent_null,7,30.045,-0.05810925982279178,-0.030323007341865882,-0.28386842716144933,0.11998876485826093,-1.2633206911460675,1.170922405083594,0.0261722647212006,-0.500703674192857,-0.045282333116109186,-0.848866351460837,0.42619312158849176,-4.913256286722701,0.9764283736991569,0.07836485349779967,-0.11828315356475956,-0.14983088120371324,-0.4979088817454471,0.20848566127038737,-2.2693929368196066,2.055644286203252,0.05349424881646423,-0.4090642772814624,-0.0029039386907401266,-0.7320032579769036,0.4191639603923023,-3.9341213381322238,0.9553121664423588,0.06745116751423907
independent_null,15,64.0725,-0.15094018138087364,-0.07618954592414973,-0.411575487032493,0.19555422191556726,-1.8838494783124284,1.2958757855089231,0.03516175852503996,-0.9842815715755908,-0.24405754999190954,-1.5754037001747165,0.7364142552269426,-8.48167159353399,1.5406817398644015,0.1378356660798304,-0.21732908689205213,-0.20925359914267272,-0.941323247979041,0.5899938721510036,-4.850113728825195,3.8142628805654857,0.09966083197382469,-0.7435088978699372,-0.2114217667353424,-1.3299945178724597,0.5667861556209863,-5.470134954494841,1.2826553713730466,0.10210171031546326
independent_null,23,99.09,-0.22917199754406967,-0.10406609835590519,-0.540629971871943,0.20051378321931024,-2.8463028431050046,1.5783545641078192,0.05337485819497593,-1.491875932914559,-0.33876565470214803,-2.3176063699886003,0.6694839335193872,-11.669710430270403,1.6747624329376758,0.18980867225499504,-0.368887392412676,-0.17125019988133694,-1.0804319795214776,0.7601219740925877,-6.3597115124979755,4.472551374519249,0.14043604091638723,-1.1250545117057738,-0.4283754765643799,-2.183682645175222,0.6503875792185485,-7.4558560432134,1.5122758336731827,0.13021412475073807
independent_null,46,198.6,-0.3135008623212895,-0.1528331787239985,-0.7604329472135922,0.2594123332953817,-3.35537032365884,1.6453194766873327,0.05867468111425591,-2.4761965958038603,-0.8959495832565718,-3.6630177998150932,0.9499415496341852,-18.13407127137143,2.15981426148891,0.27982130094309926,-0.8276498480170852,-0.23449472017739215,-1.9864156158272879,1.2089189811388223,-11.126117569388594,6.311540666540786,0.21850119907836646,-1.6629505955335582,-0.663710889233565,-3.01915035343791,0.7794683993758493,-10.594993054771505,1.714838319975806,0.17067857256676602
independent_null,76,328.5925,-0.5649152504919013,-0.31059496575532286,-1.0583289442772985,0.26605981152195657,-4.463197409236574,1.846739141059026,0.07402103619472038,-3.972029369173794,-1.307497324876783,-5.711783607887286,0.9388557660166921,-25.08714881944793,2.3220831115030465,0.4246635432644319,-1.7430377827806292,-0.4162624185937833,-3.149382372008123,1.391563781127421,-17.40930607248035,6.145178233976546,0.32768610411915944,-2.4092964641392127,-1.1654661017303987,-4.117538673601844,0.6818893143841516,-13.035991967568656,1.931344839704899,0.23080493402544983
independent_null,150,648.3475,-0.6547183850006246,-0.25708416806656764,-1.2157795798793325,0.3339398694576259,-5.314314853064239,2.381128274609655,0.08804076697881161,-5.58127004305873,-1.7746639485198337,-7.395358318846239,0.8464168009195481,-33.029037737875036,2.6071820461837794,0.538847845659555,-2.764170101973666,-0.4700399349842801,-5.07824412158238,1.6287187360422992,-23.834263799707546,8.40147360837793,0.43048647026469017,-3.1155884425747518,-1.5849498894561336,-5.473997939201035,0.7374763908066635,-15.93574705362216,2.0539348671329596,0.26194569459645883
independent_null,300,1295.8675,-0.8497776761042966,-0.2280366712605275,-1.4583808816151027,0.3823559309477984,-6.542633538182008,2.0951251153074093,0.11086348017009828,-6.850370763969555,-2.305177445966402,-10.058631247698454,1.18060596809124,-39.970038343961065,2.7321071190134765,0.644017940146635,-3.714244748042098,-0.7447585502634766,-6.7259595150653215,1.5218007314723678,-29.177517410462904,8.71150455356885,0.5224093831832985,-3.4438268201229723,-1.9348522822718461,-5.808992244947307,0.7436717083237916,-18.048375637078763,2.153233853183056,0.2857237510251624
independent_null,600,2589.6075,-0.9905930545767703,-0.3520759721465456,-1.64306842077261,0.40408188768440567,-8.615561109933378,2.2039696687495463,0.12608962883854521,-7.662485631535624,-2.755458908479305,-10.335872454696291,1.0741545328097803,-43.907050668341356,2.873985947046342,0.7289909266220337,-4.401669624669045,-0.6215257148999545,-7.460245998777294,1.662217638162006,-31.83066144995382,9.082833497835324,0.6006722413077142,-3.654726266011819,-1.944966920998695,-6.147280569722613,0.5830856339704162,-22.929070506322716,2.278442882148841,0.30553602437642674
independent_null,1000,4315.3575,-0.9911586814070767,-0.30429431987964684,-1.7887544458217457,0.4595748535221329,-8.055952647691967,2.089998464632896,0.12493397528267616,-8.338068598041296,-2.7196855690440476,-11.645985077078272,0.9163965233443108,-45.49432523114501,2.8660197629239965,0.7727425703553396,-4.953876002832348,-0.970271858080503,-8.147416910007607,1.5555729658516784,-33.863989555305146,9.307400552721933,0.642694133176309,-3.8319893866557186,-2.1666928656794724,-6.467799817148803,0.553789832925454,-23.075011532029016,2.2762328777098326,0.31377333387775996
